Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
Механизм фиксации магазина стрелкового...,https://yandex.ru/patents/doc/RU97117642A_19990520,RU97117642A,,1997.10.21,1999.05.20
Механизм автоматической перезарядки стрелкового...,https://yandex.ru/patents/doc/RU95116101A_19970820,RU95116101A,,1995.09.18,1997.08.20
Патронная гильза для стрелкового оружия,https://yandex.ru/patents/doc/RU94014737A1_19951220,RU94014737A1,,1994.04.20,1995.12.20
Крышка ствольной коробки огнестрельного...,https://yandex.ru/patents/doc/RU2013124830A_20141210,RU2013124830A,,2011.10.28,2014.12.10
Способ самонаведения ракеты с оружием на...,https://yandex.ru/patents/doc/RU2554053C1_20150620,RU2554053C1,Семенов Виктор Леонидович (RU),2013.11.26,2015.06.20
Иммобилизирующий патрон для стрелкового...,https://yandex.ru/patents/doc/RU104299U1_20110510,RU104299U1,Санкин Юрий Иванович (RU),2010.12.16,2011.05.10
Патрон для личного огнестрельного оружия и...,https://yandex.ru/patents/doc/RU2170407C1_20010710,RU2170407C1,Соловов А.А.,2000.12.20,2001.07.10
Способ переработки порохов с истекшим сроком...,https://yandex.ru/patents/doc/RU2315025C1_20080120,RU2315025C1,Лебедева Валентина Михайловна (RU),2006.03.22,2008.01.20
"Ствол автоматического стрелкового оружия,...",https://yandex.ru/patents/doc/RU2498185C1_20131110,RU2498185C1,Великолуг Александр Михайлович (RU),2012.02.28,2013.11.10
Способ и система для дистанционного обнаружения...,https://yandex.ru/patents/doc/RU2327189C2_20080620,RU2327189C2,Данилов Николай Юрьевич (RU),2006.04.28,2008.06.20
Способ зарядки оружия в соответствии с...,https://yandex.ru/patents/doc/RU2013150624A_20150520,RU2013150624A,,2012.03.23,2015.05.20
Пуля для пневматического оружия,https://yandex.ru/patents/doc/RU18101U1_20010520,RU18101U1,Зеленов В.К.,2000.06.07,2001.05.20
Узел запирания многозарядного огнестрельного...,https://yandex.ru/patents/doc/RU2006135418A_20080420,RU2006135418A,,2006.10.06,2008.04.20
Рукоятка для наводки огнестрельного...,https://yandex.ru/patents/doc/SU18164A1_19300930,SU18164A1,,1929.08.09,1930.09.30
Затворный механизм автоматического стрелкового...,https://yandex.ru/patents/doc/RU97111977A_19990527,RU97111977A,,1997.07.15,1999.05.27
Тренажер-манекен для отработки навыков...,https://yandex.ru/patents/doc/RU113666U1_20120227,RU113666U1,Любиев Олег Несторович (RU),2010.12.10,2012.02.27
"Устройство для упаковки, хранения и...",https://yandex.ru/patents/doc/RU102105U1_20110210,RU102105U1,Хаников Роман Дамирович (RU),2010.06.30,2011.02.10
Устройство для выравнивания наружного диаметра...,https://yandex.ru/patents/doc/RU204168U1_20210513,RU204168U1,Шашков Михаил Александрович (RU),2020.09.08,2021.05.13
Патрон для моделей миниатюрного огнестрельного...,https://yandex.ru/patents/doc/RU2009102858A_20100810,RU2009102858A,,2009.01.29,2010.08.10
Узел крепления мушки на стволе оружия,https://yandex.ru/patents/doc/RU2008106184A_20090827,RU2008106184A,,2008.02.18,2009.08.27
Патрон стрелкового оружия для учебной...,https://yandex.ru/patents/doc/RU2002116325A_20040427,RU2002116325A,,2002.06.17,2004.04.27
Пуля для гладкоствольного охотничьего...,https://yandex.ru/patents/doc/RU98121170A_20000910,RU98121170A,,1998.11.20,2000.09.10
Устройство для технического обслуживания ствола...,https://yandex.ru/patents/doc/RU96121004A_19981227,RU96121004A,,1996.10.24,1998.12.27
Разборный картриджный фильтр для очистки кубового...,https://yandex.ru/patents/doc/RU185837U1_20181219,RU185837U1,Капашин Валерий Петрович (RU),2018.02.08,2018.12.19
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU95122208A_19971127,RU95122208A,,1995.12.28,1997.11.27
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU93038706A_19961127,RU93038706A,,1993.08.04,1996.11.27
Способ определения конструктивных особенностей...,https://yandex.ru/patents/doc/RU2010552C1_19940415,RU2010552C1,Бахтадзе Г.Э.,1989.11.24,1994.04.15
Способ оповещения о необходимости перезаряжания...,https://yandex.ru/patents/doc/RU2017118758A_20181130,RU2017118758A,,2017.05.30,2018.11.30
Устройство для сжатия воздуха пневматического...,https://yandex.ru/patents/doc/SU905603A1_19820215,SU905603A1,,1980.04.30,1982.02.15
Способ получения пироксилиного пористого пороха...,https://yandex.ru/patents/doc/RU99101244A_20001020,RU99101244A,,1999.01.18,2000.10.20
Пуля подкалиберная для гладкоствольного...,https://yandex.ru/patents/doc/RU164903U1_20160920,RU164903U1,Сысков Александр Сергеевич (RU),2016.03.23,2016.09.20
Коллекционный макет ручного огнестрельного...,https://yandex.ru/patents/doc/RU24876U1_20020827,RU24876U1,Маслов С.П.,2001.12.03,2002.08.27
Съемная сошка для стрелкового оружия,https://yandex.ru/patents/doc/RU23674U1_20020627,RU23674U1,Кочидыков В.Н.,2001.12.06,2002.06.27
Приклад стрелкового оружия,https://yandex.ru/patents/doc/RU2011114974A_20121020,RU2011114974A,,2011.04.15,2012.10.20
Способ торможения ствола огнестрельного...,https://yandex.ru/patents/doc/RU2440544C1_20120120,RU2440544C1,Громов Владимир Вячеславович (RU),2010.07.06,2012.01.20
Способ демонтажа унитарных патронов стрелкового...,https://yandex.ru/patents/doc/RU2357203C1_20090527,RU2357203C1,Захаров Владимир Васильевич (RU),2007.09.07,2009.05.27
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU97108177A_19990427,RU97108177A,,1997.05.22,1999.04.27
Ствол нарезного оружия,https://yandex.ru/patents/doc/RU93021536A_19950120,RU93021536A,,1993.04.23,1995.01.20
Ствол автоматического оружия,https://yandex.ru/patents/doc/RU93050441A_19960820,RU93050441A,,1993.11.04,1996.08.20
Система защиты боевой машины с бензоэлектрическим...,https://yandex.ru/patents/doc/RU2181873C1_20020427,RU2181873C1,Радин А.А.,2000.09.15,2002.04.27
Установка для проверки боя пистолетов,https://yandex.ru/patents/doc/RU172952U1_20170801,RU172952U1,Кучин Семён Геннадьевич (RU),2015.11.18,2017.08.01
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU1372U1_19951216,RU1372U1,,1994.02.18,1995.12.16
Патрон для гладкоствольного оружия,https://yandex.ru/patents/doc/RU94013609A1_19951220,RU94013609A1,,1994.04.14,1995.12.20
Патрон для гладкоствольного оружия,https://yandex.ru/patents/doc/RU94004408A1_19950927,RU94004408A1,,1994.02.15,1995.09.27
Приспособление для обучения стрельбе из...,https://yandex.ru/patents/doc/RU143733U1_20140727,RU143733U1,Романчиков Сергей Александрович (RU),2014.02.04,2014.07.27
Затвор многозарядного оружия,https://yandex.ru/patents/doc/RU2004122070A_20060210,RU2004122070A,,2004.07.21,2006.02.10
Прибор для фиксирования ошибок в прицеливании из...,https://yandex.ru/patents/doc/SU137033A1_19610101,SU137033A1,,1959.08.14,1961.01.01
"Способ, предотвращающий пронос опасного...",https://yandex.ru/patents/doc/RU2005114127A_20061120,RU2005114127A,,2005.05.11,2006.11.20
СЧЕТНОЕ УСТРОЙСТВО,https://yandex.ru/patents/doc/RU2308652C2_20071020,RU2308652C2,ДЕЛЬГАДО АКАРРЕТА Рауль (ES),2002.12.05,2007.10.20
УДАРНО-СПУСКОВОЙ МЕХАНИЗМ,https://yandex.ru/patents/doc/RU2082931C1_19970627,RU2082931C1,Борзов Б.А.,1993.07.13,1997.06.27
"Идентификационная система, применяемая для...",https://yandex.ru/patents/doc/RU2009132795A_20110310,RU2009132795A,,2009.09.02,2011.03.10
Подвижные мишени для обучения и тренировок...,https://yandex.ru/patents/doc/RU126110U1_20130320,RU126110U1,Михеев Виталий Александрович (RU),2012.01.16,2013.03.20
Интерактивная система борьбы оружием на...,https://yandex.ru/patents/doc/RU2677606C2_20190117,RU2677606C2,ЧУ Капан (CN),2015.04.29,2019.01.17
Устройство для определения координат места...,https://yandex.ru/patents/doc/RU2406964C2_20101220,RU2406964C2,Хабибулин Анатолий Евгеньевич (RU),2008.12.29,2010.12.20
Идентификатор оружия и масок,https://yandex.ru/patents/doc/RU2019141885A_20210615,RU2019141885A,,2019.12.13,2021.06.15
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU18767U1_20010710,RU18767U1,Соловов А.А.,2001.03.20,2001.07.10
Рукоятка для ручного оружия,https://yandex.ru/patents/doc/RU2007101403A_20080720,RU2007101403A,,2007.01.15,2008.07.20
Механизм автоматического переключения секций...,https://yandex.ru/patents/doc/RU94000410A1_19960227,RU94000410A1,,1994.01.10,1996.02.27
Пуля патрона стрелкового оружия,https://yandex.ru/patents/doc/RU2305251C2_20070827,RU2305251C2,Соловов Алексей Анатольевич (RU),2005.07.19,2007.08.27
Пуля для гладкоствольного оружия,https://yandex.ru/patents/doc/RU96117452A_19981127,RU96117452A,,1996.08.29,1998.11.27
Прицел-дальномер для стрелкового оружия,https://yandex.ru/patents/doc/RU92946U1_20100410,RU92946U1,Павлов Михаил Николаевич (RU),2009.11.24,2010.04.10
Ствол спортивно-охотничьего оружия,https://yandex.ru/patents/doc/RU93017391A_19950120,RU93017391A,,1993.04.05,1995.01.20
Ударно-спусковой механизм оружия,https://yandex.ru/patents/doc/RU97116595A_19990710,RU97116595A,,1997.10.06,1999.07.10
Способ получения изображения развертки...,https://yandex.ru/patents/doc/RU2130628C1_19990520,RU2130628C1,Дереновский М.Е.,1997.08.06,1999.05.20
Пуля патрона стрелкового оружия,https://yandex.ru/patents/doc/RU95117141A_19971020,RU95117141A,,1995.10.10,1997.10.20
Автоматика стрелкового оружия,https://yandex.ru/patents/doc/RU2001113364A_20030420,RU2001113364A,,2001.04.27,2003.04.20
Оптический прицел для стрелкового оружия,https://yandex.ru/patents/doc/RU2008118033A_20091110,RU2008118033A,,2008.05.05,2009.11.10
Клапанный механизм для пневматического...,https://yandex.ru/patents/doc/RU2703374C1_20191016,RU2703374C1,Толкунов Алексей Сергеевич (RU),2018.10.05,2019.10.16
Устройство для чистки ствола оружия...,https://yandex.ru/patents/doc/RU99136U1_20101110,RU99136U1,Любачев Михаил Леонидович (RU),2010.05.17,2010.11.10
Маркировка стрелкового оружия и средств...,https://yandex.ru/patents/doc/RU2009101821A_20100727,RU2009101821A,,2009.01.22,2010.07.27
Запирающее устройство держателя патрона в...,https://yandex.ru/patents/doc/RU2003106024A_20050110,RU2003106024A,,2003.03.03,2005.01.10
"Способ снятия налета с материалов, оксидированных...",https://yandex.ru/patents/doc/SU486206A1_19750930,SU486206A1,,1946.12.14,1975.09.30
Способ определения наиболее эффективного по...,https://yandex.ru/patents/doc/RU2299434C2_20070520,RU2299434C2,Кормилицин Юрий Николаевич (RU),2005.07.18,2007.05.20
Система управления оружием,https://yandex.ru/patents/doc/RU2007131627A_20090227,RU2007131627A,,2007.08.20,2009.02.27
Система управления оружием,https://yandex.ru/patents/doc/RU2006125939A_20080127,RU2006125939A,,2006.07.17,2008.01.27
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU27338U1_20030120,RU27338U1,Зеленко В.К.,2002.11.14,2003.01.20
Сошка стрелкового оружия,https://yandex.ru/patents/doc/RU98115174A_20000427,RU98115174A,,1998.08.04,2000.04.27
Спусковой механизм для автоматического...,https://yandex.ru/patents/doc/SU1793189A1_19930207,SU1793189A1,,1980.05.26,1993.02.07
Способ метания осесимметричного оживального...,https://yandex.ru/patents/doc/RU2374599C2_20091127,RU2374599C2,Дронов-Дувалджи Николай Дмитриевич (RU),2007.12.29,2009.11.27
Снаряд к патронам стрелкового оружия,https://yandex.ru/patents/doc/RU2006101775A_20070727,RU2006101775A,,2006.01.24,2007.07.27
Гаситель колебаний стволов автоматического...,https://yandex.ru/patents/doc/RU2009125917A_20110120,RU2009125917A,,2009.07.06,2011.01.20
Ударно-спусковой механизм стрелкового...,https://yandex.ru/patents/doc/RU2006141937A_20080610,RU2006141937A,,2006.11.27,2008.06.10
Артиллерийский патрон к нарезному оружию,https://yandex.ru/patents/doc/RU2006101810A_20070727,RU2006101810A,,2006.01.23,2007.07.27
Пуля для патронов стрелкового оружия,https://yandex.ru/patents/doc/RU98113041A_20000427,RU98113041A,,1998.07.29,2000.04.27
Узел крепления рукоятки к оружию,https://yandex.ru/patents/doc/RU98102112A_19990520,RU98102112A,,1998.02.03,1999.05.20
"Орудийная установка, допускающая откат и...",https://yandex.ru/patents/doc/RU2350883C2_20090327,RU2350883C2,Глухов Александр Владимирович (RU),2007.07.30,2009.03.27
Системы огнестрельного оружия и способы,https://yandex.ru/patents/doc/RU2019115675A_20190529,RU2019115675A,,2016.05.19,2019.05.29
Пуля для патрона стрелкового оружия,https://yandex.ru/patents/doc/RU94330U1_20100520,RU94330U1,Фадеев Валерий Сергеевич (RU),2010.02.01,2010.05.20
Комплекс оружия для поражения наземных...,https://yandex.ru/patents/doc/RU2624258C2_20170703,RU2624258C2,Леонов Александр Георгиевич (RU),2015.09.30,2017.07.03
Прибор для начального обучения меткой стрельбе из...,https://yandex.ru/patents/doc/RU2002133854A_20040620,RU2002133854A,,2002.12.17,2004.06.20
Система запирания откидывающего блока стволов...,https://yandex.ru/patents/doc/RU101164U1_20110110,RU101164U1,Киселев Сергей Александрович (RU),2010.09.02,2011.01.10
Патрон для стрелкового оружия,https://yandex.ru/patents/doc/RU93008415A_19950727,RU93008415A,,1993.02.09,1995.07.27
Устройство оценки технического состояния приемных...,https://yandex.ru/patents/doc/RU29160U1_20030427,RU29160U1,Сухолитко В.А.,2002.12.18,2003.04.27
Индикатор момента спуска стрелкового оружия,https://yandex.ru/patents/doc/RU85222U1_20090727,RU85222U1,Жмуренко Сергей Александрович (UA),2009.03.02,2009.07.27
Пуля для патрона стрелкового оружия,https://yandex.ru/patents/doc/RU94331U1_20100520,RU94331U1,Фадеев Валерий Сергеевич (RU),2010.02.01,2010.05.20
Пуля для патрона стрелкового оружия,https://yandex.ru/patents/doc/RU94328U1_20100520,RU94328U1,Фадеев Валерий Сергеевич (RU),2010.02.01,2010.05.20
Система прицеливания оружия с лазерным...,https://yandex.ru/patents/doc/RU2643657C1_20180202,RU2643657C1,Тарасов Павел Александрович (RU),2016.08.12,2018.02.02
Осветительный патрон для стрелкового оружия,https://yandex.ru/patents/doc/RU127895U1_20130510,RU127895U1,Варёных Николай Михайлович (RU),2012.12.27,2013.05.10
Патрон для стрелкового оружия нелетального...,https://yandex.ru/patents/doc/RU2012130670A_20140127,RU2012130670A,,2012.07.19,2014.01.27
Затвор стрелкового оружия,https://yandex.ru/patents/doc/RU92003197A_19960220,RU92003197A,,1992.11.02,1996.02.20
Патронник для оружия с полусвободным...,https://yandex.ru/patents/doc/RU2004108947A_20050920,RU2004108947A,,2004.03.18,2005.09.20
Коллекционный макет ручного огнестрельного...,https://yandex.ru/patents/doc/RU24877U1_20020827,RU24877U1,Маслов С.П.,2001.12.21,2002.08.27
Пуля для патронов стрелкового оружия,https://yandex.ru/patents/doc/RU2156951C1_20000927,RU2156951C1,Добрынин П.Я.,1999.11.30,2000.09.27
Способ снижения отдачи гладкоствольного...,https://yandex.ru/patents/doc/RU2020140991A_20220614,RU2020140991A,,2020.12.12,2022.06.14
Снайперская пуля для патронов стрелкового...,https://yandex.ru/patents/doc/RU97112581A_19990610,RU97112581A,,1997.07.23,1999.06.10
Способ изготовления ствола стрелкового...,https://yandex.ru/patents/doc/RU2446904C1_20120410,RU2446904C1,Афонин Борис Владимирович (RU),2010.08.16,2012.04.10
Способ изготовления пуль патронов стрелкового...,https://yandex.ru/patents/doc/RU96109551A_19980310,RU96109551A,,1996.05.12,1998.03.10
Бронебойная пуля для патронов стрелкового...,https://yandex.ru/patents/doc/RU93038309A_19970227,RU93038309A,,1993.07.25,1997.02.27
Способ изготовления наковаленок...,https://yandex.ru/patents/doc/RU2175751C1_20011110,RU2175751C1,Захаров А.К.,2000.06.14,2001.11.10
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU93038704A_19961127,RU93038704A,,1993.08.04,1996.11.27
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU93038707A_19961127,RU93038707A,,1993.08.04,1996.11.27
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU93038705A_19961127,RU93038705A,,1993.08.04,1996.11.27
Устройство магазина огнестрельного оружия,https://yandex.ru/patents/doc/RU2013138585A_20150227,RU2013138585A,,2013.08.20,2015.02.27
Соединительное устройство приклада огнестрельного...,https://yandex.ru/patents/doc/RU2006134044A_20080410,RU2006134044A,,2005.02.25,2008.04.10
Рукоятка для огнестрельного оружия,https://yandex.ru/patents/doc/RU2005127578A_20060220,RU2005127578A,,2003.01.28,2006.02.20
"Пуля ""Константин"" для пневматического...",https://yandex.ru/patents/doc/RU96123345A_19980410,RU96123345A,,1996.12.10,1998.04.10
Тренажер для тренировки плавного спуска при...,https://yandex.ru/patents/doc/RU145890U1_20140927,RU145890U1,Романчиков Сергей Александрович (RU),2014.02.04,2014.09.27
Бронебойная пуля для стрелкового оружия,https://yandex.ru/patents/doc/RU109843U1_20111027,RU109843U1,Фадеев Валерий Сергеевич (RU),2011.04.20,2011.10.27
Бронебойная пуля для стрелкового оружия,https://yandex.ru/patents/doc/RU107342U1_20110810,RU107342U1,Фадеев Валерий Сергеевич (RU),2011.04.20,2011.08.10
Способ демонтажа патронов стрелкового...,https://yandex.ru/patents/doc/RU2008145307A_20100527,RU2008145307A,,2008.11.17,2010.05.27
Способ выпуска порохового газа из канала ствола...,https://yandex.ru/patents/doc/RU2225973C2_20040320,RU2225973C2,Тюрина О.И.,2002.05.13,2004.03.20
Электропатрон для газового оружия,https://yandex.ru/patents/doc/RU93054360A_19961127,RU93054360A,,1993.12.08,1996.11.27
Адаптируемая ложа стрелкового оружия,https://yandex.ru/patents/doc/RU127886U1_20130510,RU127886U1,Козьмин Александр Евгеньевич (RU),2012.12.27,2013.05.10
Способ дистанционного обнаружения оружия и...,https://yandex.ru/patents/doc/RU2004128917A_20060310,RU2004128917A,,2004.10.04,2006.03.10
Использование перископического прибора наблюдения...,https://yandex.ru/patents/doc/RU2015118698A_20161210,RU2015118698A,,2015.05.19,2016.12.10
Устройство запирания затвора стрелкового...,https://yandex.ru/patents/doc/RU2005110993A_20061020,RU2005110993A,,2005.04.15,2006.10.20
Магазин стрелкового оружия,https://yandex.ru/patents/doc/RU96121318A_19981227,RU96121318A,,1996.10.30,1998.12.27
Патрон для бесствольного стрелкового...,https://yandex.ru/patents/doc/RU2602527C1_20161120,RU2602527C1,Бидеев Геннадий Александрович (RU),2015.07.27,2016.11.20
Пуля патрона стрелкового оружия,https://yandex.ru/patents/doc/RU95113762A1_19970710,RU95113762A1,,1995.08.15,1997.07.10
Упаковка патронов спортивно-охотничьего...,https://yandex.ru/patents/doc/RU49218U1_20051110,RU49218U1,Белый А.М. (RU),2005.05.04,2005.11.10
Способ выполнения нарезов в стволах стрелкового...,https://yandex.ru/patents/doc/RU99108036A_20010120,RU99108036A,,1999.04.09,2001.01.20
Механизм фиксации рычага взведения в...,https://yandex.ru/patents/doc/RU94006055A1_19951110,RU94006055A1,,1994.02.15,1995.11.10
Устройство для тренировки спортсменов-единоборцев,https://yandex.ru/patents/doc/RU2016603C1_19940730,RU2016603C1,Герасименко В.Г.,1991.06.20,1994.07.30
Открытый ночной прицел для стрелкового...,https://yandex.ru/patents/doc/RU2008110257A_20090927,RU2008110257A,,2008.03.17,2009.09.27
Управляемые фильтры на основе поляризаторов из...,https://yandex.ru/patents/doc/RU159967U1_20160227,RU159967U1,Курков Сергей Николаевич (RU),2015.07.06,2016.02.27
Газовый двигатель автоматики многоствольного...,https://yandex.ru/patents/doc/RU96118122A_19981227,RU96118122A,,1996.09.12,1998.12.27
"Способ уничтожения O-ИЗОБУТИЛ-S-2-(n,...",https://yandex.ru/patents/doc/RU2593307C1_20160810,RU2593307C1,Капашин Валерий Петрович (RU),2015.03.31,2016.08.10
Устройство для тренировки фехтовальщиков,https://yandex.ru/patents/doc/SU952282A1_19820823,SU952282A1,,1979.06.22,1982.08.23
Сигнальный патрон для стрелкового оружия,https://yandex.ru/patents/doc/RU127447U1_20130427,RU127447U1,Варёных Николай Михайлович (RU),2012.12.27,2013.04.27
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU2011151161A_20120720,RU2011151161A,,2011.12.14,2012.07.20
Предохранительное устройство пневматической...,https://yandex.ru/patents/doc/SU1172342A1_19870923,SU1172342A1,,1984.04.18,1987.09.23
Система защиты экипажа танка от оружия...,https://yandex.ru/patents/doc/RU2018107404A_20190828,RU2018107404A,,2018.02.28,2019.08.28
Устройство для торможения отдачи стрелкового...,https://yandex.ru/patents/doc/RU21652U1_20020127,RU21652U1,Кузнецов А.К.,2001.08.21,2002.01.27
Устройство крепления ствола к ствольной коробке...,https://yandex.ru/patents/doc/RU2015123777A_20170110,RU2015123777A,,2015.06.19,2017.01.10
Способ введения оптическим прицелом поправки на...,https://yandex.ru/patents/doc/RU2015119651A_20161220,RU2015119651A,,2015.05.25,2016.12.20
Способ защиты подвижного объекта наземного...,https://yandex.ru/patents/doc/RU2771262C1_20220429,RU2771262C1,Мартышин Владимир Иванович (RU),2021.06.11,2022.04.29
Ствол стрелкового оружия под патрон с...,https://yandex.ru/patents/doc/RU2005126097A_20070227,RU2005126097A,,2005.08.17,2007.02.27
Механизм регулировки давления и отсечки газов...,https://yandex.ru/patents/doc/RU2003123690A_20050120,RU2003123690A,,2003.07.28,2005.01.20
Конструкция безфланцевых патронов кругового...,https://yandex.ru/patents/doc/RU2002133168A_20040627,RU2002133168A,,2002.12.09,2004.06.27
Пиротехнический ударный воспламенительный состав...,https://yandex.ru/patents/doc/RU97120938A_19990310,RU97120938A,,1997.12.25,1999.03.10
Пиротехнический ударный воспламенительный состав...,https://yandex.ru/patents/doc/RU96101611A_19980520,RU96101611A,,1996.01.29,1998.05.20
Ствол травматического оружия,https://yandex.ru/patents/doc/RU147479U1_20141110,RU147479U1,Потриденный Василий Владимирович (RU),2014.06.03,2014.11.10
Способ изготовления ствола короткоствольного...,https://yandex.ru/patents/doc/RU2732026C1_20200910,RU2732026C1,Потриденный Сергей Васильевич (RU),2019.12.26,2020.09.10
Ночной прицел для индивидуального оружия,https://yandex.ru/patents/doc/RU127207U1_20130420,RU127207U1,Софин Антон Сергеевич (RU),2012.12.13,2013.04.20
Пуля для спортивного пневматического оружия,https://yandex.ru/patents/doc/RU2000539C1_19930907,RU2000539C1,Батурина Анна Григорьевна,1991.07.15,1993.09.07
Приспособление для тренировки плавного спуска при...,https://yandex.ru/patents/doc/RU134623U1_20131120,RU134623U1,Романчиков Сергей Александрович (RU),2013.06.14,2013.11.20
Способ получения сферического пороха для дробовых...,https://yandex.ru/patents/doc/RU2522642C2_20140720,RU2522642C2,Староверов Александр Александрович (RU),2012.11.01,2014.07.20
Коллекционный макет стрелкового автоматического...,https://yandex.ru/patents/doc/RU20790U1_20011127,RU20790U1,Маслов С.П.,2001.05.21,2001.11.27
Способ идентификации оружия по стреляной...,https://yandex.ru/patents/doc/SU1838162A3_19930830,SU1838162A3,,1991.01.28,1993.08.30
Способ и устройство поджига порохового заряда в...,https://yandex.ru/patents/doc/RU2012113423A_20131020,RU2012113423A,,2012.04.09,2013.10.20
Способ установления расстояния выстрела из...,https://yandex.ru/patents/doc/RU2006104542A_20070910,RU2006104542A,,2006.02.13,2007.09.10
"Механизм установки, накола и извлечения...",https://yandex.ru/patents/doc/RU2000113083A_20020320,RU2000113083A,,2000.05.25,2002.03.20
Термостойкий неоржавляющий ударный...,https://yandex.ru/patents/doc/RU2000102693A_20011120,RU2000102693A,,2000.02.07,2001.11.20
Механизм экстракции стреляной гильзы с проточкой...,https://yandex.ru/patents/doc/RU95119467A_19971120,RU95119467A,,1995.11.16,1997.11.20
Функциональные механизмы стрелкового...,https://yandex.ru/patents/doc/RU2346222C2_20090210,RU2346222C2,Горобцов Вениамин Михайлович (RU),2007.02.26,2009.02.10
Патрон стрелкового оружия,https://yandex.ru/patents/doc/RU2014148973A_20160627,RU2014148973A,,2014.12.05,2016.06.27
Система управления оружием,https://yandex.ru/patents/doc/RU2007117066A_20081120,RU2007117066A,,2007.05.07,2008.11.20
Система управления оружием,https://yandex.ru/patents/doc/RU2007113400A_20081020,RU2007113400A,,2007.04.10,2008.10.20
СТРЕЛКОВО-ПУШЕЧНАЯ УСТАНОВКА,https://yandex.ru/patents/doc/RU2205341C2_20030527,RU2205341C2,Шипунов А.Г.,2001.07.18,2003.05.27
Функциональные механизмы стрелкового...,https://yandex.ru/patents/doc/RU2007106924A_20080910,RU2007106924A,,2007.02.26,2008.09.10
Устройство пневматического унитарного патрона...,https://yandex.ru/patents/doc/RU2005111259A_20061027,RU2005111259A,,2005.04.18,2006.10.27
Вращающаяся оружейная установка транспортного...,https://yandex.ru/patents/doc/RU2244239C1_20050110,RU2244239C1,Бровкин Б.Н. (RU),2004.02.16,2005.01.10
Способ изготовления пуль патронов стрелкового...,https://yandex.ru/patents/doc/RU2037137C1_19950609,RU2037137C1,Калинин Сергей Алексеевич,1993.01.19,1995.06.09
Способ изготовления пуль патронов стрелкового...,https://yandex.ru/patents/doc/RU2015498C1_19940630,RU2015498C1,Калинин Сергей Алексеевич,1991.11.04,1994.06.30
Упаковка патронов для ручного стрелкового...,https://yandex.ru/patents/doc/RU86727U1_20090910,RU86727U1,Зайцев Владимир Тимофеевич (RU),2009.03.05,2009.09.10
Способ изготовления пуль патронов стрелкового...,https://yandex.ru/patents/doc/RU2037138C1_19950609,RU2037138C1,Калинин С.А.,1993.01.19,1995.06.09
Пуля охотничьего патрона для нарезного...,https://yandex.ru/patents/doc/RU2009445C1_19940315,RU2009445C1,Бабкин В.И.,1991.06.07,1994.03.15
Система автоматического отпирания затвора,https://yandex.ru/patents/doc/RU92523U1_20100320,RU92523U1,Трубчининов Олег Витальевич (RU),2009.08.13,2010.03.20
АРБАЛЕТ,https://yandex.ru/patents/doc/RU2071586C1_19970110,RU2071586C1,Долгов А.М.,1993.02.04,1997.01.10
Винтовка турлакова n 7 (галина),https://yandex.ru/patents/doc/RU2725113C1_20200629,RU2725113C1,Турлаков Максим Сергеевич (RU),2020.01.14,2020.06.29
ОРУЖЕЙНАЯ УСТАНОВКА,https://yandex.ru/patents/doc/RU2256866C1_20050720,RU2256866C1,Бобылев А.М. (RU),2004.03.30,2005.07.20
Способ комплексного улучшения боевых и...,https://yandex.ru/patents/doc/RU2011135991A_20130310,RU2011135991A,,2010.01.27,2013.03.10
Способ комплексного улучшения боевых и...,https://yandex.ru/patents/doc/RU2010102326A_20110727,RU2010102326A,,2010.01.25,2011.07.27
Система контроля применения оружия и...,https://yandex.ru/patents/doc/RU2018121761A_20191216,RU2018121761A,,2018.06.14,2019.12.16
Пуля для стрелкового оружия с сердечником...,https://yandex.ru/patents/doc/RU2016138511A_20180402,RU2016138511A,,2016.09.29,2018.04.02
РЕВОЛЬВЕР,https://yandex.ru/patents/doc/RU3992U1_19970416,RU3992U1,Прокопьев Г.А.,1995.07.25,1997.04.16
Винтовка турлакова n 5,https://yandex.ru/patents/doc/RU2715817C1_20200303,RU2715817C1,Турлаков Максим Сергеевич (RU),2019.08.26,2020.03.03
Динамический дульный тормоз,https://yandex.ru/patents/doc/RU2193743C2_20021127,RU2193743C2,Горянин В.Н.,1999.10.11,2002.11.27
Глушитель для стрелкового оружия,https://yandex.ru/patents/doc/RU2007113124A_20081020,RU2007113124A,,2007.04.09,2008.10.20
Система автоматического отпирания затвора,https://yandex.ru/patents/doc/RU92524U1_20100320,RU92524U1,Трубчининов Олег Витальевич (RU),2009.08.13,2010.03.20
Аппаратный модуль для проверки неконтактных...,https://yandex.ru/patents/doc/RU149840U1_20150120,RU149840U1,Кузнецов Денис Иванович (RU),2014.03.04,2015.01.20
