Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
Бронебойная пуля,https://yandex.ru/patents/doc/RU2742165C1_20210202,RU2742165C1,Семенов Александр Алексеевич (RU),2020.05.12,2021.02.02
Устройство и способ обучения стрельбе,https://yandex.ru/patents/doc/RU2588284C2_20160627,RU2588284C2,Палехова Елизавета Сергеевна (RU),2014.11.26,2016.06.27
Устройство ввода информации в компьютер,https://yandex.ru/patents/doc/RU129672U1_20130627,RU129672U1,Даниленко Александр Сергеевич (UA),2012.07.05,2013.06.27
Пиротехнический патрон инфракрасного излучения,https://yandex.ru/patents/doc/RU2674043C1_20181204,RU2674043C1,Меньшаков Сергей Степанович (RU),2017.12.28,2018.12.04
Способ графитовки сферического пороха,https://yandex.ru/patents/doc/RU2597317C2_20160910,RU2597317C2,Староверов Александр Александрович (RU),2015.01.26,2016.09.10
ПРЕДОХРАНИТЕЛЬНЫЙ МЕХАНИЗМ,https://yandex.ru/patents/doc/RU2550104C1_20150510,RU2550104C1,Котт Артем Алексеевич (RU),2014.01.17,2015.05.10
ПАТРОН,https://yandex.ru/patents/doc/RU2529238C1_20140927,RU2529238C1,Абрамов Юрий Борисович (RU),2013.04.09,2014.09.27
Оружейный комплекс с боеприпасом /варианты,https://yandex.ru/patents/doc/RU2594264C2_20160810,RU2594264C2,Староверов Николай Евгеньевич (RU),2014.01.09,2016.08.10
Способ получения сферического пороха,https://yandex.ru/patents/doc/RU2459787C2_20120827,RU2459787C2,Староверов Александр Александрович (RU),2010.02.08,2012.08.27
Гранатомет универсальный дальнобойный,https://yandex.ru/patents/doc/RU2397424C2_20100820,RU2397424C2,Чигаров Евгений Константинович (RU),2008.11.14,2010.08.20
ВКЛАДНАЯ ПУШКА,https://yandex.ru/patents/doc/RU2316705C1_20080210,RU2316705C1,Дубинин Денис Борисович (RU),2006.06.13,2008.02.10
ПИСТОЛЕТ,https://yandex.ru/patents/doc/RU2305822C2_20070910,RU2305822C2,Гайфутдинов Марс Фасхутдинович (RU),2005.10.24,2007.09.10
"Стенд для определения импульса силы, действующей...",https://yandex.ru/patents/doc/RU2285220C1_20061010,RU2285220C1,Большаков Анатолий Николаевич (RU),2005.02.10,2006.10.10
